  k=7: scanned 200/5040, invariant-buckets=4, elapsed=43.9s, eta=1062.5s
  k=7: scanned 400/5040, invariant-buckets=4, elapsed=81.4s, eta=944.5s
  k=7: scanned 600/5040, invariant-buckets=4, elapsed=118.5s, eta=877.1s
  k=7: scanned 800/5040, invariant-buckets=4, elapsed=154.8s, eta=820.2s
  k=7: scanned 1000/5040, invariant-buckets=7, elapsed=193.7s, eta=782.7s
  k=7: scanned 1200/5040, invariant-buckets=7, elapsed=231.4s, eta=740.4s
  k=7: scanned 1400/5040, invariant-buckets=7, elapsed=269.2s, eta=699.9s
  k=7: scanned 1600/5040, invariant-buckets=7, elapsed=307.7s, eta=661.5s
  k=7: scanned 1800/5040, invariant-buckets=7, elapsed=345.7s, eta=622.3s
  k=7: scanned 2000/5040, invariant-buckets=7, elapsed=382.4s, eta=581.2s
  k=7: scanned 2200/5040, invariant-buckets=7, elapsed=419.2s, eta=541.1s
  k=7: scanned 2400/5040, invariant-buckets=7, elapsed=456.0s, eta=501.6s
  k=7: scanned 2600/5040, invariant-buckets=7, elapsed=493.3s, eta=463.0s
  k=7: scanned 2800/5040, invariant-buckets=7, elapsed=529.9s, eta=423.9s
  k=7: scanned 3000/5040, invariant-buckets=7, elapsed=566.6s, eta=385.3s
  k=7: scanned 3200/5040, invariant-buckets=7, elapsed=603.1s, eta=346.8s
  k=7: scanned 3400/5040, invariant-buckets=7, elapsed=642.2s, eta=309.7s
  k=7: scanned 3600/5040, invariant-buckets=7, elapsed=678.4s, eta=271.4s
  k=7: scanned 3800/5040, invariant-buckets=7, elapsed=715.1s, eta=233.4s
  k=7: scanned 4000/5040, invariant-buckets=7, elapsed=751.5s, eta=195.4s
  k=7: scanned 4200/5040, invariant-buckets=7, elapsed=787.8s, eta=157.6s
  k=7: scanned 4400/5040, invariant-buckets=7, elapsed=826.5s, eta=120.2s
  k=7: scanned 4600/5040, invariant-buckets=7, elapsed=862.4s, eta=82.5s
  k=7: scanned 4800/5040, invariant-buckets=7, elapsed=898.2s, eta=44.9s
  k=7: scanned 5000/5040, invariant-buckets=7, elapsed=935.6s, eta=7.5s
